Minimum_HR,Maximum_HR,Average_HR,Delta_HR,Standard_Dev_SC,Maximum_SC,Average_SC,Sum_SC,Activity
63,186,116.133333333333,27,6.71447853015638,31.37695312,24.2383358056425,4338.66210921,Walking Dog Walking
67,142,112.66573816156,39,4.74859391685773,27.72265625,17.7409872545531,6351.27343713,Walking Dog Walking
53,129,83.8440111420613,-4,4.17414317842214,20.64453125,1.14070683460894,408.37304679,Walking Dog Walking
50,220,155.631578947368,78,9.57160030970225,27.59765625,17.2038047209251,3905.26367165,Walking Dog Walking
67,144,121.25198938992,12,3.94767468083207,30.46875,20.3238551351596,7641.76953082,Walking Dog Walking
72,168,122.840776699029,-34,5.2424530025429,29.39453125,21.3999650405058,10999.58203082,Walking Dog Walking
66,133,92.6809523809524,66,7.88350899899401,24.18359375,17.3938244036191,3652.70312476,Walking Dog Walking
60,192,90.7635135135135,-2,5.36026072634148,23.84179687,19.7271885572009,8739.14453084,Walking Dog Walking
60,145,95.0617760617761,-6,7.74876047956206,23.15625,16.324695675,4211.77148415,Walking Dog Walking
67,119,90.3844011142061,-8,5.0829816169741,22.0078125,17.5023077419832,6265.82617163,Walking Dog Walking
65,144,98.0759493670886,-10,6.12000883767956,21.46484375,16.2580317274235,6373.14843715,Walking Dog Walking
104,220,193.916030534351,100,8.69457221497302,27.15820312,20.4775316064122,2682.55664044,Walking Dog Walking
65,140,120.671296296296,-29,7.73566514420336,22.0078125,16.4893844031482,3561.70703108,Walking Dog Walking
65,153,109.56798245614,-10,6.89553509200911,22.98046875,17.6204799097363,8017.31835893,Walking Dog Walking
59,194,122.319587628866,-19,9.20728152847305,23.84179687,15.872193645528,7666.26953079,Walking Dog Walking
53,94,73.4705882352941,7,11.8668619325984,26.62304687,12.2505744479412,1249.55859369,Walking Dog Walking
83,139,98.6029411764706,-18,9.96588745006556,31.0546875,6.83508540078431,1394.35742176,Walking Dog Walking
83,186,128.064748201439,20,2.88390040773132,22.90820312,20.1628540904317,2802.63671857,Walking Dog Walking
60,143,85.8571428571429,44,6.48614965659763,30.17578125,19.6835886625781,7558.49804643,Walking Dog Walking
72,220,165.596685082873,78,6.539760390051,26.984375,21.3003819911602,3855.3691404,Walking Dog Walking
64,203,160.275,26,2.07702577625642,24.453125,21.2198411299721,7596.70312453,Walking Dog Walking
70,114,85.4094488188976,9,7.94233786020472,23.6015625,16.1560949889683,2035.66796861,Walking Dog Walking
68,133,90.9138888888889,-11,4.77204930624099,22.40234375,18.7392442102507,6727.38867148,Walking Dog Walking
71,148,102.261111111111,-2,2.29449299546341,23.84179687,21.2777517833983,7638.71289024,Walking Dog Walking
61,119,80.0625,12,7.31932889291498,22.93359375,17.5004793562663,6702.68359345,Walking Dog Walking
61,99,81.6060606060606,13,4.10325074530218,26.984375,23.9127308230303,3156.48046864,Walking Dog Walking
61,139,108.819047619048,-13,6.34186672851563,23.15625,18.6591282886124,3899.75781232,Walking Dog Walking
71,140,101.11377245509,30,4.6071585414263,22.8359375,19.7631572777246,3300.44726538,Walking Dog Walking
67,97,77.7891891891892,2,7.87705750475261,22.69140625,15.9292735213044,2930.98632792,Walking Dog Walking
111,168,153.510067114094,14,4.25717203415198,27.24609375,23.8177957202685,3548.85156232,Walking Dog Walking
77,106,84.875,-21,7.04085654228255,22.93359375,17.6783691395,2121.40429674,Walking Dog Walking
58,143,103.533333333333,-17,10.0431815377004,23.23046875,14.6483226093277,1743.15039051,Walking Dog Walking
62,131,88.5416666666667,-30,7.39478514745983,23.91796875,17.7652481902572,5524.99218717,Walking Dog Walking
62,93,81.2557172557173,17,4.65578331438594,24.22265625,20.3963300728482,9810.63476504001,Walking Dog Walking
71,120,93.7067901234568,10,5.8559843245023,31.27734375,22.1909406433127,7167.67382779,Walking Dog Walking
61,190,96.5544554455445,21,7.42075875712945,31.0078125,17.6311306413889,8886.08984326,Walking Dog Walking
92,138,122.13768115942,33,6.98360830328607,22.21875,17.2203492971014,2376.408203,Walking Dog Walking
69,164,130.566666666667,18,7.87875268661029,28.12109375,22.2140082455556,3998.5214842,Walking Dog Walking
60,185,117.532467532468,-3,7.68405725081146,23.453125,17.1384261446204,7900.81445267,Walking Dog Walking
58,78,66.0732984293194,-5,0,0,0,0,Walking Dog Walking
73,128,112.280952380952,39,1.43687361547882,20.984375,18.9110398055238,3971.31835916,Walking Dog Walking
102,133,116.944444444444,5,7.72043981306739,20.78515625,4.23142722740741,456.99414056,Walking Dog Walking
65,128,117.858299595142,-12,3.57368318824256,21.6015625,18.6659282893902,4591.81835919,Walking Dog Walking
69,120,101.634146341463,18,8.85581064686234,32.703125,13.0907000452709,2657.41210919,Walking Dog Walking
