Minimum_HR,Maximum_HR,Average_HR,Delta_HR,Standard_Dev_SC,Maximum_SC,Average_SC,Sum_SC,Activity,Sedentary,ActivityCategorical
48,132,86.07948244,23,3.626872745,19.921875,0.972193287,524.9843749,Sedentary,1,0
58,100,66.09461967,0,1.506378157,16.82226562,0.157488923,84.41406249,Sedentary,1,0
63,113,76.17092338,16,1.741131265,14.98046875,0.220147295,111.3945313,Sedentary,1,0
58,140,93.05914972,-27,4.655841695,20.984375,1.727361834,932.7753905,Sedentary,1,0
55,148,81.84501845,7,1.196365047,14.40429687,0.115115017,62.16210936,Sedentary,1,0
85,116,103.5652174,-12,3.525319634,12.140625,1.222762398,112.4941406,Sedentary,1,0
64,110,79.97674419,8,1.533304504,18.4375,0.173030156,88.93749998,Sedentary,1,0
67,141,104.4972578,63,7.333567388,22.76367187,3.933977207,2144.017578,Sedentary,1,0
64,159,100.4473198,-37,5.49441054,21.796875,1.950128276,1051.119141,Sedentary,1,0
44,84,64.55421687,10,0,0,0,0,Sedentary,1,0
48,101,65.69277108,-2,3.495723896,18.10351562,0.897600446,446.1074218,Sedentary,1,0
64,102,77.76025237,1,2.580699224,21.234375,0.451913568,142.8046875,Sedentary,1,0
54,96,65.3800813,-6,1.584353726,15.71484375,0.187993254,92.30468749,Sedentary,1,0
54,106,66.85743381,19,1.705391256,15.71484375,0.217515817,106.3652344,Sedentary,1,0
59,128,87.49897331,3,3.737327464,19.14257812,1.03399406,500.4531249,Sedentary,1,0
59,108,82.46747967,10,3.134937949,15.66210937,0.772629996,379.3613281,Sedentary,1,0
55,99,68.0388601,15,1.500617598,16.55859375,0.169064529,65.08984373,Sedentary,1,0
50,124,75.10740741,50,3.486088235,18.6875,0.887274192,477.3535155,Sedentary,1,0
50,88,62.07222222,-1,0,0,0,0,Sedentary,1,0
64,176,119.2897196,-2,4.545575598,24.609375,1.336040103,712.1093749,Sedentary,1,0
56,129,86.11275416,-12,8.518991179,22.078125,6.162550636,3327.777343,Sedentary,1,0
44,128,84.62476895,-7,4.134088424,18.28515625,1.409837963,761.3124998,Sedentary,1,0
